gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,tic,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
001690,2010-03-31,APPLE INC,1980-12-12,2010-04-20,2010,2010.25,037833100,0000320193,AAPL,3663,95014,14,USA,39348,57057,17709,13499,13499,7658,1646,4195,3979,3074,3241,,,8111,-4041,685,534,0,0,0,32336,12229,638,0,0,0,0,23155,4629,39348,39348,3074,425,216,,650,0,0,3504,2239,426,0,0,909.636,235,,2330,-83,162,160,0,0,0,216,,274,0
001690,2010-06-30,APPLE INC,1980-12-12,2010-07-20,2010.25,2010.5,037833100,0000320193,AAPL,3663,95014,14,USA,43111,64725,21614,15700,15700,9291,1902,4507,4234,3253,3828,,,12912,-9471,1001,733,384,0,0,36033,15612,942,0,0,0,0,24288,6399,43111,43111,3253,698,273,,1245,0,0,3990,2174,464,0,0,913.482,251.53,,4801,-5430,316,199,384,0,0,273,,595,0
001690,2010-09-30,APPLE INC,1980-12-12,2010-10-18,2010.5,2010.75,037833100,0000320193,AAPL,3663,95014,14,USA,47791,75183,27392,20343,20343,12502,2065,5776,5447,4308,4300,,,18595,-13854,1257,912,406,0,0,41678,20722,1051,0,0,0,0,25620,9924,47791,47791,4308,1027,329,,2005,0,0,4768,2370,494,0,0,915.97,283.75,,5683,-4383,256,179,22,0,0,329,,760,0
001690,2010-12-31,APPLE INC,1980-12-12,2011-01-18,2010.75,2011,037833100,0000320193,AAPL,3663,95014,14,USA,54666,86742,32076,26741,26741,16087,2471,8183,7827,6004,5418,,,9773,-10729,429,208,233,0,0,43927,23795,885,0,0,0,0,26977,10874,54666,54666,6004,356,356,,1214,0,0,5868,2863,575,0,0,921.035,322.56,,9773,-10729,429,208,233,0,0,356,,1214,0
001690,2011-03-31,APPLE INC,1980-12-12,2011-04-20,2011,2011.25,037833100,0000320193,AAPL,3663,95014,14,USA,61477,94904,33427,24667,24667,14015,2344,8308,7874,5987,6150,,,15992,-12251,976,494,258,0,0,46997,24327,930,0,0,0,0,29234,11095,61477,61477,5987,790,434,,1838,0,0,6241,2950,581,0,0,924.674,348.5075,,6219,-1522,547,286,25,0,0,434,,624,0
001690,2011-06-30,APPLE INC,1980-12-12,2011-07-19,2011.25,2011.5,037833100,0000320193,AAPL,3663,95014,14,USA,69343,106758,37415,28571,28571,16168,2543,9860,9379,7308,7331,,,27100,-27283,1013,577,479,0,0,46898,26859,889,0,0,0,0,28395,11471,69343,69343,7308,1271,481,,2615,0,0,6749,3225,628,0,0,926.904,335.67,,11108,-15032,37,83,221,0,0,481,,777,0
001690,2011-09-30,APPLE INC,1980-12-12,2011-10-18,2011.5,2011.75,037833100,0000320193,AAPL,3663,95014,14,USA,76615,116371,39756,28270,28270,16347,2670,9253,8710,6623,8159,,,37529,-40419,1444,831,520,0,0,44988,27970,776,0,0,0,0,25952,11717,76615,76615,6623,1814,543,,4260,0,0,7777,3627,645,0,0,929.277,381.32,,10429,-13136,431,254,41,0,0,543,,1645,0
001690,2011-12-31,APPLE INC,1980-12-12,2012-01-24,2011.75,2012,037833100,0000320193,AAPL,3663,95014,14,USA,90054,138681,48627,46333,46333,24909,3363,18061,17340,13064,9725,,,17554,-17128,69,91,355,0,0,54771,34607,1236,0,0,0,0,30156,16484,90054,90054,13064,721,721,,1321,0,0,7816,4295,758,0,0,932.214,405,,17554,-17128,69,91,355,0,0,721,,1321,0
001690,2012-03-31,APPLE INC,1980-12-12,2012-04-24,2012,2012.25,037833100,0000320193,AAPL,3663,95014,14,USA,102498,150934,48436,39186,39186,19882,3180,16124,15384,11622,11704,,,31531,-31604,379,377,634,0,0,50712,32036,1102,0,0,0,0,28538,13769,102498,102498,11622,1461,740,,2778,0,0,8847,4696,841,0,0,934.982,599.55,,13977,-14476,310,286,279,0,0,740,,1457,0
001690,2012-06-30,APPLE INC,1980-12-12,2012-07-24,2012.25,2012.5,037833100,0000320193,AAPL,3663,95014,14,USA,111746,162896,51150,35023,35023,19194,3421,12408,11573,8824,13195,13195,,41720,-43914,324,433,1145,0,0,51943,33060,1122,0,0,0,0,27654,14298,111746,111746,8824,2296,835,,4834,0,0,10487,4895,876,0,0,937.266,584,,10189,-12310,-55,56,511,0,0,835,,2056,0
001690,2012-09-30,APPLE INC,1980-12-12,2012-10-25,2012.5,2012.75,037833100,0000320193,AAPL,3663,95014,14,USA,118210,176064,57854,35966,35966,20584,3457,11925,10944,8223,13847,13847,,50856,-48227,-1698,665,1226,0,0,57653,38542,791,0,0,0,0,29129,18692,118210,118210,8223,3277,981,,8295,0,0,15452,5465,906,0,0,939.208,667.105,,9136,-4313,-2022,232,81,0,0,981,,3461,0
001690,2012-12-31,APPLE INC,1980-12-12,2013-01-23,2012.75,2013,037833100,0000320193,AAPL,3663,95014,14,USA,127346,196088,68742,54512,54512,31864,3850,18798,17210,13078,15654,15654,,23426,-13521,-4497,76,2484,0,0,72348,46879,1455,0,0,0,0,39820,21534,127346,127346,13078,1588,1588,,2317,0,0,15422,6209,1010,0,0,938.973,532.1729,,23426,-13521,-4497,76,2484,0,0,1588,,2317,0
