Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | -8.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | AAPL | -40.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | 1.
Order: 1980-12-16 | F | -131.
