date,tot-value,vol,sharpe,pnl-pt
1981-02-26,100000.000000,0.000000,0.000000,0.000000
1981-02-27,100001.162336,0.000003,1.773059,0.290584
1981-03-02,100001.401297,0.000001,4.980614,0.233550
1981-03-03,100001.075395,0.000000,0.000000,0.134424
1981-03-04,99999.731777,0.000002,-0.583767,-0.026822
1981-03-05,100010.440887,0.000018,2.484262,0.870074
1981-03-06,100022.660135,0.000027,3.605525,1.618581
1981-03-09,100007.767968,0.000016,2.077117,0.485498
1981-03-10,100006.817523,0.000003,10.007263,0.378751
1981-03-11,100014.042103,0.000009,6.446600,0.739058
1981-03-12,100016.700835,0.000003,21.761294,0.835042
1981-03-13,100022.522323,0.000007,13.950416,1.072492
1981-03-16,100031.974791,0.000011,12.658300,1.453400
1981-03-17,100088.291526,0.000063,6.072907,3.838762
1981-03-18,100088.291526,0.000000,0.000000,3.678814
1981-03-19,100084.557318,0.000004,93.404714,3.382293
1981-03-20,100092.512633,0.000008,49.358668,3.558178
1981-03-23,100067.010421,0.000025,11.458878,2.481867
1981-03-24,100062.464817,0.000004,61.475818,2.230886
1981-03-25,100047.985832,0.000014,15.192182,1.654684
1981-03-26,100006.672964,0.000038,0.757790,0.222432
1981-03-27,100012.153044,0.000005,10.635958,0.392034
1981-03-30,100051.856190,0.000035,6.398935,1.620506
1981-03-31,100010.348912,0.000036,1.246961,0.313603
1981-04-01,99985.181300,0.000021,-3.002460,-0.435844
1981-04-02,99951.946736,0.000028,-7.512468,-1.372950
1981-04-03,99923.893561,0.000023,-14.352053,-2.114068
1981-04-06,99945.778522,0.000018,-13.337034,-1.465445
1981-04-07,99945.778522,0.000000,0.000000,-1.426881
1981-04-08,99976.767639,0.000024,-4.172989,-0.595702
1981-04-09,99976.767639,0.000000,0.000000,-0.580809
1981-04-10,99951.962252,0.000019,-11.123543,-1.171652
1981-04-13,99977.566788,0.000019,-5.107515,-0.534124
1981-04-14,100003.723324,0.000019,0.842046,0.086589
1981-04-15,99994.767695,0.000006,-3.505551,-0.118916
1981-04-16,100022.337390,0.000020,4.928219,0.496386
1981-04-20,100050.433133,0.000020,11.066638,1.096372
1981-04-21,100079.049412,0.000020,17.255489,1.681902
1981-04-22,100127.454303,0.000033,16.659686,2.655298
1981-04-23,100107.671250,0.000013,34.871846,2.197372
