gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,TICKER,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
4839,1962/12/31,FORD MOTOR CO,,,1962.75,1962.75,345370860,37996,F,3711,48126,11,USA,,,,2298.9,2298.9,,,362.3,303.0,130.3,,,,,,,,,,,,,,,,,,,,,,130.3,,59.3,,,,,,,,,,,46.3699,,,,,,,,,,,,
6066,1962/12/31,INTL BUSINESS MACHINES CORP,,,1962.75,1962.75,459200101,51143,IBM,7370,10504,11,USA,,,,525.8,525.8,,,740.0,461.94,65.865,,,,,,,,,,,,,,,,,,,,,,65.865,,278.06,,,,,,,,,,,389.9996,,,,,,,,,,,,
4839,1962/3/31,FORD MOTOR CO,,,1962.0,1962.0,345370860,37996,F,3711,48126,11,USA,,,,1999.7,1999.7,,,311.5,256.1,127.7,,,,,,,,,,,,,,,,,,,,,,127.7,,55.4,,,,,,,,,,,97.3798,,,,,,,,,,,,
6066,1962/3/31,INTL BUSINESS MACHINES CORP,,,1962.0,1962.0,459200101,51143,IBM,7370,10504,11,USA,,,,453.2,453.2,,,,,56.263999999999996,,,,,,,,,,,,,,,,,,,,,,56.263999999999996,,,,,,,,,,,,,532.2222,,,,,,,,,,,,
4839,1962/6/30,FORD MOTOR CO,,,1962.25,1962.25,345370860,37996,F,3711,48126,11,USA,,,,2043.2,2043.2,,,342.7,286.4,140.6,,,,,,,,,,,,,,,,,,,,,,140.6,,56.3,,,,,,,,,,,77.2599,,,,,,,,,,,,
6066,1962/6/30,INTL BUSINESS MACHINES CORP,,,1962.25,1962.25,459200101,51143,IBM,7370,10504,11,USA,,,,478.5,478.5,,,,,60.045,,,,,,,,,,,,,,,,,,,,,,60.045,,,,,,,,,,,,,338.9173,,,,,,,,,,,,
4839,1962/9/30,FORD MOTOR CO,,,1962.5,1962.5,345370860,37996,F,3711,48126,11,USA,,,,1747.8,1747.8,,,218.9,161.6,82.1,,,,,,,,,,,,,,,,,,,,,,82.1,,57.3,,,,,,,,,,,41.37,,,,,,,,,,,,
6066,1962/9/30,INTL BUSINESS MACHINES CORP,,,1962.5,1962.5,459200101,51143,IBM,7370,10504,11,USA,,,,467.7,467.7,,,,,59.213,,,,,,,,,,,,,,,,,,,,,,59.213,,,,,,,,,,,,,353.1442,,,,,,,,,,,,
4839,1963/12/31,FORD MOTOR CO,,,1963.75,1963.75,345370860,37996,F,3711,48126,11,USA,,,,2544.7,2544.7,,,370.3,312.4,141.65,,,,,,,,,,,,,,,,,,,,,,141.65,,57.9,,,,,,,,,,,49.8699,,,,,,,,,,,,
6066,1963/12/31,INTL BUSINESS MACHINES CORP,,,1963.75,1963.75,459200101,51143,IBM,7370,10504,11,USA,,,,779.7,779.7,,,1213.36,778.62,107.82700000000001,,,,,,,,,,,,,,,,,,,,,,107.82700000000001,,434.74,,,,,,,,,,,506.9994,,,,,,,,,,,,
4839,1963/3/31,FORD MOTOR CO,,,1963.0,1963.0,345370860,37996,F,3711,48126,11,USA,,,,2094.2,2094.2,,,307.8,249.5,121.3,,,,,,,,,,,,,,,,,,,,,,121.3,,58.3,,,,,,,,,,,46.3699,,,,,,,,,,,,
6066,1963/3/31,INTL BUSINESS MACHINES CORP,,,1963.0,1963.0,459200101,51143,IBM,7370,10504,11,USA,,,,666.4,666.4,,,,,78.593,,,,,,,,,,,,,,,,,,,,,,78.593,,,,,,,,,,,,,420.594,,,,,,,,,,,,
4839,1963/6/30,FORD MOTOR CO,,,1963.25,1963.25,345370860,37996,F,3711,48126,11,USA,,,,2339.9,2339.9,,,381.7,323.4,155.9,,,,,,,,,,,,,,,,,,,,,,155.9,,58.3,,,,,,,,,,,52.12,,,,,,,,,,,,
6066,1963/6/30,INTL BUSINESS MACHINES CORP,,,1963.25,1963.25,459200101,51143,IBM,7370,10504,11,USA,,,,702.0,702.0,,,,,87.551,,,,,,,,,,,,,,,,,,,,,,87.551,,,,,,,,,,,,,435.8194,,,,,,,,,,,,
4839,1963/9/30,FORD MOTOR CO,,,1963.5,1963.5,345370860,37996,F,3711,48126,11,USA,,,,1763.7,1763.7,,,201.3,142.9,69.7,,,,,,,,,,,,,,,,,,,,,,69.7,,58.4,,,,,,,,,,,53.7499,,,,,,,,,,,,
6066,1963/9/30,INTL BUSINESS MACHINES CORP,,,1963.5,1963.5,459200101,51143,IBM,7370,10504,11,USA,,,,714.6,714.6,,,,,90.28399999999999,,,,,,,,,,,,,,,,,,,,,,90.28399999999999,,,,,,,,,,,,,451.5634,,,,,,,,,,,,
4839,1964/12/31,FORD MOTOR CO,,,1964.75,1964.75,345370860,37996,F,3711,48126,11,USA,,,,2543.3,2543.3,,,268.3,203.72,101.94,,,,,,,,,,,,,,,,,,,,,,101.94,,64.58,,,,,,,,,,,54.3699,,,,,,,,,,,,
6066,1964/12/31,INTL BUSINESS MACHINES CORP,,,1964.75,1964.75,459200101,51143,IBM,7370,10504,11,USA,,,,844.2,844.2,,,1359.34,884.03,114.735,,,,,,,,,,,,,,,,,,,,,,114.735,,475.31,,,,,,,,,,,409.4995,,,,,,,,,,,,
4839,1964/3/31,FORD MOTOR CO,,,1964.0,1964.0,345370860,37996,F,3711,48126,11,USA,,,,2415.6,2415.6,,,353.9,294.3,144.3,,,,,,,,,,,,,,,,,,,,,,144.3,,59.6,,,,,,,,,,,53.87,,,,,,,,,,,,
6066,1964/3/31,INTL BUSINESS MACHINES CORP,,,1964.0,1964.0,459200101,51143,IBM,7370,10504,11,USA,,,,831.7,831.7,,,,,114.824,,,,,,,,,,,,,,,,,,,,,,114.824,,,,,,,,,,,,,593.6623,,,,,,,,,,,,
4839,1964/6/30,FORD MOTOR CO,,,1964.25,1964.25,345370860,37996,F,3711,48126,11,USA,,,,2672.6,2672.6,,,420.5,362.7,179.7,,,,,,,,,,,,,,,,,,,,,,179.7,,57.8,,,,,,,,,,,52.4999,,,,,,,,,,,,
6066,1964/6/30,INTL BUSINESS MACHINES CORP,,,1964.25,1964.25,459200101,51143,IBM,7370,10504,11,USA,,,,783.5,783.5,,,,,100.167,,,,,,,,,,,,,,,,,,,,,,100.167,,,,,,,,,,,,,477.7685,,,,,,,,,,,,
