gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,TICKER,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
1690,1979/12/31,APPLE INC,1980/12/12,,1979.75,1980,37833100,320193,AAPL,3663,95014,14,USA,12.571,24.636,12.262,19.54,19.54,10.545,3.817,,5.178,2.647,0.376,,,,,,,,,,23.052,11.689,8.088,,0.197,,,4.968,9.92,12.374,12.374,2.647,,,,,,0.004,1.188,0,,0,0,43.575,,,,,,,,,,,,,
1690,1980/3/31,APPLE INC,1980/12/12,,1980,1980.25,37833100,320193,AAPL,3663,95014,14,USA,15.909,30.353,14.632,23.55,23.55,13.268,4.773,,5.509,2.788,0.2,,,,,,,,,,28.367,14.244,13.639,,0.188,,,5.361,9.292,15.721,15.721,2.788,,,,,,0.009,1.55,0,,0,0,45.838,,,,,,,,,,,,,
1690,1980/6/30,APPLE INC,1980/12/12,,1980.25,1980.5,37833100,320193,AAPL,3663,95014,14,USA,20.208,41.707,21.926,32.569,32.569,19.083,7.998,,5.488,2.735,0.523,,,,,,,,,,37.93,20.976,22.37,,0.427,,,0.415,15.069,19.781,19.781,2.735,,,,,,0.009,2.472,0,,0,0,46.158,,,,,,,,,,,,,
1690,1980/9/30,APPLE INC,1980/12/12,,1980.5,1980.75,37833100,320193,AAPL,3663,95014,14,USA,26.619,65.35,39.401,41.467,41.467,24.433,9.623,,7.411,3.528,0.951,,,,,,,,,,54.106,37.78,34.191,0.254,0.67,,,2.474,17.441,25.949,25.949,3.528,,,,,,0.188,4.779,0,,0,0,48.397,,,,,,,,,,,,,
1690,1980/12/31,APPLE INC,1980/12/12,,1980.75,1981,37833100,320193,AAPL,3663,95014,14,USA,131.805,162.122,31.117,67.621,67.621,36.868,14.69,16.063,14.914,7.421,1.451,,,,,,,,,,145.72,28.866,38.051,,0.8,0,0,74.688,32.484,131.005,131.005,7.421,,1.149,,,,0.387,9.228,0,,0,0,54.622,34.125,,,,,,,,,,,,
1690,1981/3/31,APPLE INC,1980/12/12,,1981,1981.25,37833100,320193,AAPL,3663,95014,14,USA,148.225,190.739,43.693,78.765,78.765,43.057,19.318,16.39,14.847,9.175,3.086,,,,,,,,,,173.152,39.428,52.852,,1.179,0,0,75.886,42.425,147.046,147.046,9.175,,1.543,,,,0.35,10.288,0,,0,0,55.237,24.5,,,,,,,,,,,,
1690,1981/6/30,APPLE INC,1980/12/12,1981/7/22,1981.25,1981.5,37833100,320193,AAPL,3663,95014,14,USA,165.469,222.347,58.268,90.719,90.719,45.223,23.414,22.082,20.218,11.858,6.964,,,,,,,,,,201.262,49.914,78.108,1.113,1.39,0,0,77.638,45.012,164.079,164.079,11.858,,1.864,,,,0.135,15.793,0,,0,0,55.136,26,,,,,,,,,,,,
1690,1981/9/30,APPLE INC,1980/12/12,1981/10/20,1981.5,1981.75,37833100,320193,AAPL,3663,95014,14,USA,179.296,254.838,77.451,97.678,97.678,46.623,30.857,20.198,16.164,10.966,5.262,,,,,,,,,,227.104,70.28,103.873,0.931,1.909,0,0,72.834,42.33,177.387,177.387,10.966,,4.034,,,,0.428,22.371,0,,0,0,55.309,15.25,,,,,,,,,,,,
1690,1981/12/31,APPLE INC,1980/12/12,1982/1/22,1981.75,1982,37833100,320193,AAPL,3663,95014,14,USA,193.98,285.186,92.894,133.553,133.553,64.089,43.179,26.285,23.225,13.562,7.254,,,,,,,,,,249.16,83.952,100.97,,1.688,0,0,76.157,65.043,192.292,192.292,13.562,,3.06,,,,,27.866,0,,0,0,55.421,22.125,,,,,,,,,,,,
1690,1982/3/31,APPLE INC,1980/12/12,1982/4/15,1982,1982.25,37833100,320193,AAPL,3663,95014,14,USA,218.969,302.389,85.1,131.019,131.019,61.809,41.903,27.307,23.413,13.817,11.12,,,,,,,,,,263.14,72.3,97.893,,1.68,0,0,101.313,58.122,217.289,217.289,13.817,,3.894,,,,,31.615,0,,0,0,56.488,16.875,,,,,,,,,,,,
1690,1982/6/30,APPLE INC,1980/12/12,1982/7/16,1982.25,1982.5,37833100,320193,AAPL,3663,95014,14,USA,236.665,323.961,89.427,142.681,142.681,64.941,47.749,29.991,25.035,15.193,10.919,,,,,,,,,,283.437,76.377,90.115,,2.131,0,0,122.521,62.734,234.534,234.534,15.193,,4.956,,,,,33.444,0,,0,0,56.743,12.75,,,,,,,,,,,,
1690,1982/9/30,APPLE INC,1980/12/12,1982/10/20,1982.5,1982.75,37833100,320193,AAPL,3663,95014,14,USA,259.144,357.787,100.695,175.808,175.808,80.606,60.02,35.182,30.536,18.734,12.887,,,,,,,,,,317.075,85.756,81.229,1.169,2.052,0,0,153.056,71.478,257.092,257.092,18.734,,4.646,,,,,34.483,0,,0,0,57.123,18.25,,,,,,,,,,,,
